temp,p,Result 1,Result 2,Result 3
0.1,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.1,0.9,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.2,0.9,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.30000000000000004,0.9,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.4,0.9,"

The interval between batches of tea cakes is usually greater than or equal to 34 minutes.","

The interval between batches of tea cakes is usually greater than or equal to 34 minutes.","

The interval between batches of tea cakes is usually greater than or equal to 34 minutes."
0.5,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.5,0.8,"

Between batches of tea cakes, it takes an average of 34 minutes for the clock to show that the last batch has been removed.","

Between batches of tea cakes, it takes an average of 34 minutes for the clock to show that the last batch has been removed. So, the time interval between batches of tea cakes is greater than or equal to 36 minutes.","

Between batches of tea cakes, it takes an average of 34 minutes for the clock to show that the last batch has been removed. So, the time interval between batches of tea cakes is greater than or equal to 36 minutes."
0.5,0.9,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.4,"

Between batches of tea cakes, there is a total of 68 minutes that elapse.","

Between batches of tea cakes, there is a total of 84 minutes that elapse.","

Between batches of tea cakes, there is a total of 68 minutes that elapse."
0.6,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.6,0.9,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.7000000000000001,"

Between batches of tea cakes, it takes an average of 34 minutes for the cakes to be removed from the oven.","

Between batches of tea cakes, it takes an average of 34 minutes for the cakes to be removed from the oven. The time interval between batches is greater than or equal to 34 minutes.","

Between batches of tea cakes, it takes an average of 34 minutes for the cakes to be removed from the oven. The time interval between batches is greater than or equal to 34 minutes."
0.7000000000000001,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.7000000000000001,0.9,"



36 minutes","



36 minutes","

36 minutes"
0.8,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.7000000000000001,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.8,0.9,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.1,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.2,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.30000000000000004,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.4,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.5,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.6,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.7000000000000001,"

The interval between batches of tea cakes is typically 34 minutes.","

The interval between batches of tea cakes is typically 34 minutes.","

The interval between batches of tea cakes is typically 34 minutes."
0.9,0.8,"

36 minutes","

36 minutes","

36 minutes"
0.9,0.9,"

36 minutes","

36 minutes","

36 minutes"
