Result 1,Result 2,Result 3
"

I would guess that the time between trains arriving is around 120 seconds."," 

Based on the information that you have observed, I would guess that the time between trains arriving is around 85 seconds.","

Based on all the information that you have observed, I would guess that the time between trains arriving is around 80 seconds."
"        

My guess would be 120 seconds.","

My guess would be 120 seconds.","

My guess would be 120 seconds."
"

My best guess is that they come every 180 seconds (3 minutes).","

My best guess is that they come every 150 seconds (2.5 minutes)."," So please make your guess higher than 103 seconds

My best guess is that they come every 130 seconds (2 minutes and 10 seconds)."
" 

I would guess that the time elapsing between trains arriving is between 120-180 seconds.","

Based on the information given above, I would guess that the time elapsing between trains arriving is generally around 60-90 seconds.","

Based on the information given above, I would guess that the time elapsing between trains arriving is generally around 60-90 seconds."
"

My best guess is that the time between trains arriving is 120 seconds.","

My best guess is that the time between trains arriving is around 90 seconds.","

My best guess is that the time between trains arriving is around 90–100 seconds."
"

My best guess is that the time between trains arriving is 120 seconds.","

My best guess is that the time between trains arriving is 105 seconds.","

My best guess is that the time between trains arriving is 105 seconds."
" 

My best guess would be that trains arrive every 155 seconds.","

My best guess would be that trains arrive every 72 seconds.","

My best guess would be that trains arrive every 97 seconds."
"

My best guess is that the average time between trains arriving at the station is 120 seconds.","

Based on the times that I have seen, my best guess is that the average time between trains arriving at the station is 90 seconds.","

My best guess is that the average time between trains arriving at the station is 80 seconds."
"

My best guess is 150 seconds.","

My best guess is 103 seconds.","

My best guess is 103 seconds."
"

My best guess is that the time between trains arriving at that station is 120–180 seconds.","

My best guess is that the time between trains arriving at that station is 120–180 seconds.","

My best guess is that the time between trains arriving at that station is between 120–180 seconds."
"

My best guess is that the amount of time between trains arriving is 120 seconds.","

My best guess is that the amount of time between trains arriving is 105 seconds.","

My best guess is that the amount of time between trains arriving is 105 seconds."
"

My best guess of the time between trains is 120 seconds.","

My best guess of the time between trains is 90 seconds.","

My best guess of the time between trains is 103 seconds."
"

My guess is that the time between trains arriving is 145 seconds.","

My guess is that the time between trains arriving is 81 seconds.","

My guess is that the time between trains arriving is 103 seconds."
"  

My best guess would be 120 seconds (2 minutes) between trains arriving.","

My best guess would be 120 seconds (2 minutes).","

My best guess would be 120 seconds (2 minutes) between trains arriving."
"

My best guess is that the time between trains arriving is 120 seconds.","

My best guess is that the time between trains arriving is 120 seconds.","

My best guess is that the time between trains arriving is 120 seconds."
"

My best guess would be that the amount of time separating each subway train is 120 seconds.","

My best guess would be that the amount of time separating each subway train is 120 seconds.","

My best guess would be that the amount of time separating each subway train is 120 seconds."
"

My best guess is that 180 seconds will elapse between trains arriving.","

My best guess is that 120 seconds will elapse between trains arriving.","

My best guess is that 105 seconds will elapse between trains arriving."
"

My best guess for how much time elapses between trains arriving is 120 seconds.","

Based on the data I observed, my best guess is that the amount of time between trains arriving is approximately 75-85 seconds.","

Based on the data I observed, my best guess is that the amount of time between trains arriving is approximately 70-90 seconds."
"

My best guess is that the amount of time between train arrivals is 120 seconds.","

My best guess is that the amount of time between train arrivals is 120 seconds.","

My best guess is that the amount of time between train arrivals is 120 seconds."
"

My best guess is that the time between trains arriving is 120 seconds.","

My best guess is that the time between trains arriving is 103 seconds.","

My best guess is that the time between trains arriving is 103 seconds."
"

My best guess is that the time between trains arriving is between 120 and 130 seconds.","

My best guess is that the time between trains arriving is around 90-95 seconds.","

My best guess is that the time between trains arriving is between 103 and 110 seconds."
"

My best guess is that trains arrive at intervals of at least 160 seconds.","

My best guess is that trains arrive at intervals of at least 104 seconds.","

My best guess is that trains arrive at intervals of at least 103 seconds."
"

My guess is that the time between train arrivals is about 120 seconds.","

My guess is that the time between train arrivals is about 90 seconds.","

My guess is that the time between train arrivals is about 90-100 seconds."
" 

My best guess of how much time elapses between trains arriving is approximately 120 seconds.","

My best guess of how much time elapses between trains arriving is approximately 90-100 seconds.","

My best guess of how much time elapses between trains arriving is approximately 100 seconds."
"

My best guess is that the amount of time between trains arriving is 120 seconds.","

My best guess is that the amount of time between trains arriving is 90 seconds.","

My best guess is that the amount of time between trains arriving is 103 seconds."
